employee_id,gender,hourly_pay,overtime_hours,overtime_pay,bonus_pay
1,Man,42,2,80,500
2,Man,44,0,0,700
3,Man,41,1,40,600
4,Man,43,0,0,550
5,Man,42,3,120,500
6,Man,40,0,0,450
7,Man,44,2,90,700
8,Man,41,1,50,500
9,Man,43,0,0,650
10,Man,42,2,100,600
11,Woman,38,1,30,400
12,Woman,39,0,0,420
13,Woman,40,2,70,450
14,Woman,37,0,0,380
15,Woman,39,3,120,460
16,Woman,38,1,40,410
17,Woman,40,2,80,430
18,Woman,39,0,0,440
19,Woman,37,1,30,400
20,Woman,38,0,0,420
21,Non-binary,41,1,50,480
22,Non-binary,42,0,0,500
23,Non-binary,40,2,90,470
24,Non-binary,41,1,40,460
25,Non-binary,42,0,0,490
26,Non-binary,41,2,80,475
27,Non-binary,40,0,0,450
28,Non-binary,42,1,50,480
29,Non-binary,41,0,0,470
30,Non-binary,40,2,100,460
